date_period,bank_name,cards_total,cards_active,atm_total,atm_units,atm_deposit,ptks,terminals_total
2020-02-01,"АБ ""КЛІРИНГОВИЙ ДІМ""",18003.0,14457.0,25.0,25.0,0.0,0.0,7.0
2020-02-01,"АБ ""УКРГАЗБАНК""",1690769.0,415290.0,713.0,713.0,45.0,0.0,1569.0
2020-02-01,"АКБ ""ІНДУСТРІАЛБАНК""",122528.0,56797.0,156.0,156.0,5.0,0.0,64.0
2020-02-01,"АТ ""ЄПБ""",489.0,144.0,1.0,1.0,0.0,0.0,4.0
2020-02-01,"АТ ""Ідея Банк""",301111.0,58348.0,24.0,24.0,1.0,0.0,133.0
2020-02-01,"АТ ""А - БАНК""",1703787.0,439830.0,0.0,0.0,0.0,0.0,24.0
2020-02-01,"АТ ""АБ ""РАДАБАНК""",44739.0,11472.0,24.0,24.0,1.0,0.0,69.0
2020-02-01,"АТ ""АЙБОКС БАНК""",2630.0,1453.0,9.0,9.0,0.0,0.0,10.0
2020-02-01,"АТ ""АКБ ""КОНКОРД""",78525.0,23337.0,13.0,13.0,0.0,0.0,322.0
2020-02-01,"АТ ""АЛЬПАРІ БАНК""",1113.0,136.0,0.0,0.0,0.0,0.0,2.0
2020-02-01,"АТ ""АЛЬТБАНК""",4905.0,3115.0,9.0,9.0,9.0,0.0,10.0
2020-02-01,"АТ ""АЛЬФА-БАНК""",2603190.0,958452.0,774.0,774.0,303.0,0.0,13497.0
2020-02-01,"АТ ""АП БАНК""",658.0,347.0,0.0,0.0,0.0,0.0,4.0
2020-02-01,"АТ ""АСВІО БАНК""",13183.0,8917.0,17.0,17.0,1.0,0.0,14.0
2020-02-01,"АТ ""БАНК ""ГРАНТ""",11607.0,5493.0,30.0,30.0,0.0,0.0,45.0
2020-02-01,"АТ ""БАНК ""ПОРТАЛ""",32.0,19.0,2.0,2.0,1.0,0.0,0.0
2020-02-01,"АТ ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""",5242.0,2758.0,7.0,7.0,0.0,0.0,20.0
2020-02-01,"АТ ""БАНК 3/4""",2382.0,767.0,6.0,6.0,0.0,0.0,7.0
2020-02-01,"АТ ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ""",41416.0,14819.0,36.0,36.0,3.0,0.0,63.0
2020-02-01,"АТ ""БАНК АЛЬЯНС""",9088.0,4748.0,0.0,0.0,0.0,0.0,34.0
2020-02-01,"АТ ""БАНК КРЕДИТ ДНІПРО""",235263.0,85169.0,146.0,114.0,1.0,32.0,79.0
2020-02-01,"АТ ""БАНК СІЧ""",11965.0,4372.0,46.0,46.0,1.0,0.0,169.0
2020-02-01,"АТ ""БАНК ТРАСТ-КАПІТАЛ""",838.0,501.0,9.0,9.0,0.0,0.0,2.0
2020-02-01,"АТ ""БАНК ФОРВАРД""",122763.0,20508.0,31.0,31.0,31.0,0.0,17.0
2020-02-01,"АТ ""БТА БАНК""",843.0,361.0,5.0,5.0,0.0,0.0,3.0
2020-02-01,"АТ ""КІБ""",11295.0,3913.0,3.0,3.0,0.0,0.0,46.0
2020-02-01,"АТ ""КБ ""ГЛОБУС""",39210.0,15765.0,8.0,8.0,0.0,0.0,45.0
2020-02-01,"АТ ""КБ ""ЗЕМЕЛЬНИЙ КАПІТАЛ""",2284.0,1090.0,7.0,7.0,1.0,0.0,8.0
2020-02-01,"АТ ""КОМІНВЕСТБАНК""",26735.0,5532.0,40.0,40.0,0.0,0.0,49.0
2020-02-01,"АТ ""КРЕДІ АГРІКОЛЬ БАНК""",319423.0,172965.0,306.0,306.0,23.0,0.0,219.0
2020-02-01,"АТ ""КРЕДИТВЕСТ БАНК""",1608.0,618.0,4.0,4.0,0.0,0.0,2.0
2020-02-01,"АТ ""КРЕДОБАНК""",247289.0,135068.0,378.0,273.0,0.0,105.0,178.0
2020-02-01,"АТ ""КРИСТАЛБАНК""",9835.0,5118.0,10.0,10.0,0.0,0.0,34.0
2020-02-01,"АТ ""МІБ""",16017.0,4974.0,10.0,10.0,0.0,0.0,27.0
2020-02-01,"АТ ""МЕГАБАНК""",128259.0,43443.0,148.0,121.0,0.0,27.0,164.0
2020-02-01,"АТ ""МОТОР-БАНК""",13407.0,8445.0,25.0,25.0,0.0,0.0,13.0
2020-02-01,"АТ ""МетаБанк""",28486.0,3533.0,21.0,21.0,0.0,0.0,72.0
2020-02-01,"АТ ""Місто Банк""",1390.0,496.0,2.0,2.0,0.0,0.0,11.0
2020-02-01,"АТ ""ОКСІ БАНК""",3031.0,1471.0,9.0,9.0,0.0,0.0,11.0
2020-02-01,"АТ ""ОТП БАНК""",1034572.0,384916.0,149.0,149.0,123.0,0.0,183.0
2020-02-01,"АТ ""Ощадбанк""",13289919.0,5755822.0,6414.0,3251.0,57.0,3163.0,60676.0
2020-02-01,"АТ ""ПІРЕУС БАНК МКБ""",32739.0,12413.0,22.0,22.0,0.0,0.0,29.0
2020-02-01,"АТ ""ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК""",13812.0,6627.0,42.0,42.0,5.0,0.0,72.0
2020-02-01,"АТ ""ПРАВЕКС БАНК""",59037.0,22444.0,107.0,107.0,0.0,0.0,327.0
2020-02-01,"АТ ""ПРОКРЕДИТ БАНК""",25984.0,14460.0,29.0,29.0,13.0,0.0,0.0
2020-02-01,"АТ ""ПУМБ""",2916447.0,862269.0,727.0,727.0,16.0,0.0,4171.0
2020-02-01,"АТ ""Полтава-банк""",62379.0,37375.0,78.0,78.0,0.0,0.0,101.0
2020-02-01,"АТ ""РВС БАНК""",13433.0,2167.0,13.0,13.0,2.0,0.0,21.0
2020-02-01,"АТ ""Райффайзен Банк Аваль""",3453974.0,1919046.0,2539.0,2154.0,416.0,385.0,30677.0
2020-02-01,"АТ ""СІТІБАНК""",3120.0,1194.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,"АТ ""СБЕРБАНК""",192448.0,65271.0,186.0,186.0,36.0,0.0,3678.0
2020-02-01,"АТ ""СЕБ КОРПОРАТИВНИЙ БАНК""",619.0,428.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,"АТ ""СКАЙ БАНК""",3832.0,1545.0,2.0,2.0,0.0,0.0,9.0
2020-02-01,"АТ ""ТАСКОМБАНК""",390651.0,75025.0,118.0,118.0,96.0,0.0,1746.0
2020-02-01,"АТ ""УКРБУДІНВЕСТБАНК""",4119.0,1694.0,17.0,17.0,0.0,0.0,114.0
2020-02-01,"АТ ""УКРСИББАНК""",1988580.0,970469.0,1079.0,982.0,132.0,97.0,5815.0
2020-02-01,"АТ ""УНІВЕРСАЛ БАНК""",2470928.0,1658878.0,21.0,21.0,16.0,0.0,29.0
2020-02-01,"АТ ""Укрексімбанк""",566661.0,252519.0,602.0,598.0,35.0,4.0,2442.0
2020-02-01,"АТ ""Укрпошта""",0.0,0.0,0.0,0.0,0.0,0.0,5002.0
2020-02-01,"АТ ""ЮНЕКС БАНК""",22737.0,7363.0,28.0,28.0,0.0,0.0,22.0
2020-02-01,"АТ АКБ ""Львів""",20474.0,9593.0,24.0,24.0,0.0,0.0,7.0
2020-02-01,"АТ КБ ""ПриватБанк""",32848736.0,21261762.0,19898.0,7340.0,391.0,12558.0,198479.0
2020-02-01,"Акціонерний банк ""Південний""",497625.0,204679.0,286.0,262.0,0.0,24.0,3632.0
2020-02-01,"ПАТ ""БАНК ВОСТОК""",366012.0,210744.0,64.0,57.0,1.0,7.0,4042.0
2020-02-01,"ПАТ ""МТБ БАНК""",102922.0,54764.0,150.0,150.0,9.0,0.0,755.0
2020-02-01,"ПАТ ""Промінвестбанк""",4908.0,495.0,6.0,6.0,3.0,0.0,3.0
2020-02-01,Полікомбанк,7017.0,3305.0,29.0,29.0,1.0,0.0,42.0
2020-02-01,"ПуАТ ""КБ ""АКОРДБАНК""",27242.0,14041.0,93.0,93.0,0.0,0.0,145.0
2020-03-01,"АБ ""КЛІРИНГОВИЙ ДІМ""",19996.0,16556.0,26.0,26.0,0.0,0.0,7.0
2020-03-01,"АБ ""УКРГАЗБАНК""",1712179.0,412674.0,714.0,714.0,45.0,0.0,1658.0
2020-03-01,"АКБ ""ІНДУСТРІАЛБАНК""",124710.0,56246.0,155.0,155.0,5.0,0.0,63.0
