date_period,Inflation_MoM,INF_Coefficient,CPI_index
2020-02-01,99.7,0.997,100
2020-03-01,100.8,1.008,100.8
2020-04-01,100.8,1.008,101.6064
2020-05-01,100.3,1.003,101.9112192
2020-06-01,100.2,1.002,102.1150416384
2020-07-01,99.4,0.994,101.50235138857
2020-08-01,99.8,0.998,101.299346685792
2020-09-01,100.5,1.005,101.805843419221
2020-10-01,101,1.01,102.823901853414
2020-11-01,101.3,1.013,104.160612577508
2020-12-01,100.9,1.009,105.098058090706
2021-01-01,101.3,1.013,106.464332845885
2021-02-01,101,1.01,107.528976174344
2021-03-01,101.7,1.017,109.356968769307
2021-04-01,100.7,1.007,110.122467550693
2021-05-01,101.3,1.013,111.554059628852
2021-06-01,100.2,1.002,111.777167748109
2021-07-01,100.1,1.001,111.888944915857
2021-08-01,99.8,0.998,111.665167026026
2021-09-01,101.2,1.012,113.005149030338
2021-10-01,100.9,1.009,114.022195371611
2021-11-01,100.8,1.008,114.934372934584
2021-12-01,100.6,1.006,115.623979172191
2022-01-01,101.3,1.013,117.12709090143
2022-05-01,102.7,1.027,120.289522355769
2022-06-01,103.1,1.031,124.018497548797
2022-07-01,100.7,1.007,124.886627031639
2022-08-01,101.1,1.011,126.260379928987
2022-09-01,101.9,1.019,128.659327147638
2022-10-01,102.5,1.025,131.875810326329
2022-11-01,100.7,1.007,132.798940998613
2022-12-01,100.7,1.007,133.728533585603
2023-01-01,100.8,1.008,134.798361854288
2023-02-01,100.7,1.007,135.741950387268
2023-03-01,101.5,1.015,137.778079643077
2023-04-01,100.2,1.002,138.053635802363
2023-05-01,100.5,1.005,138.743903981375
2023-06-01,100.8,1.008,139.853855213226
2023-07-01,99.4,0.994,139.014732081947
2023-08-01,98.6,0.986,137.0685258328
2023-09-01,100.5,1.005,137.753868461964
2023-10-01,100.8,1.008,138.855899409659
2023-11-01,100.5,1.005,139.550178906708
2023-12-01,100.7,1.007,140.527030159055
2024-01-01,100.4,1.004,141.089138279691
2024-02-01,100.3,1.003,141.51240569453
2024-03-01,100.5,1.005,142.219967723002
2024-04-01,100.2,1.002,142.504407658448
2024-05-01,100.6,1.006,143.359434104399
2024-06-01,102.2,1.022,146.513341654696
2024-07-01,100,1,146.513341654696
2024-08-01,100.6,1.006,147.392421704624
2024-09-01,101.5,1.015,149.603308030193
2024-10-01,101.8,1.018,152.296167574737
2024-11-01,101.9,1.019,155.189794758657
2024-12-01,101.4,1.014,157.362451885278
2025-01-01,101.2,1.012,159.250801307901
2025-02-01,100.8,1.008,160.524807718365
2025-03-01,101.5,1.015,162.93267983414
2025-04-01,100.7,1.007,164.073208592979
2025-05-01,101.3,1.013,166.206160304688
2025-06-01,100.8,1.008,167.535809587125
2025-07-01,99.8,0.998,167.200737967951
2025-08-01,99.8,0.998,166.866336492015
2025-09-01,100.3,1.003,167.366935501491
2025-10-01,100.9,1.009,168.873237921005
2025-11-01,100.4,1.004,169.548730872689
2025-12-01,100.2,1.002,169.887828334434
