date_period,cardholders_thou,cards_total_thou,cards_active_thou,atm_total,atm_deposit,ptks_total,pos_total,merchant_points
2020-02-01,46786.016,68296.265,36345.349,19375.0,1778.0,16402.0,235572.0,339266.0
2020-03-01,47133.851,68958.765,36542.396,19297.0,1753.0,16394.0,240818.0,344455.0
2020-04-01,46942.753,68641.013,36628.028,19211.0,1742.0,16349.0,241154.0,346285.0
2020-05-01,46941.934,69934.201,34720.057,18563.0,1638.0,14670.0,175753.0,267935.0
2020-06-01,46822.646,70020.161,35677.831,18609.0,1691.0,15507.0,262662.0,332042.0
2020-07-01,47621.269,71676.54,36374.277,18745.0,1714.0,15908.0,296960.0,354638.0
2020-08-01,48018.602,72382.852,37345.024,18931.0,1757.0,16122.0,308314.0,365249.0
2020-09-01,48478.06,72976.397,37682.67,18763.0,1864.0,16100.0,312781.0,369739.0
2020-10-01,48937.698,73366.63,38424.61,18727.0,1977.0,16078.0,316392.0,374604.0
2020-11-01,48679.824,72259.703,38565.48,18746.0,2148.0,16025.0,320438.0,379333.0
2020-12-01,49057.591,72950.959,39232.291,18783.0,2234.0,16006.0,322736.0,382607.0
2021-01-01,49460.994,73430.29,40449.737,18789.0,2425.0,15967.0,326941.0,388958.0
2021-02-01,49722.875,74020.121,39335.827,18647.0,2466.0,15905.0,321518.0,383216.0
2021-03-01,50050.88,74618.056,39875.664,18537.0,2512.0,15893.0,330639.0,392842.0
2021-04-01,50293.674,75301.369,40791.742,18784.0,2582.0,15905.0,333504.0,395886.0
2021-05-01,50571.792,75248.393,40803.747,18837.0,2600.0,15817.0,325398.0,389174.0
2021-06-01,50608.438,75234.065,41048.86,18815.0,2611.0,15770.0,346410.0,411596.0
2021-07-01,51122.798,76027.831,41272.8,18748.0,2616.0,15743.0,356043.0,420291.0
2021-08-01,51480.777,76847.742,41675.162,18510.0,2655.0,15619.0,358201.0,424883.0
2021-09-01,51971.163,77660.938,42225.241,18410.0,2689.0,15585.0,359001.0,425639.0
2021-10-01,52423.684,78445.776,42807.034,18424.0,2763.0,15573.0,363516.0,430692.0
2021-11-01,52913.512,79462.169,43329.624,18437.0,2816.0,15444.0,365512.0,432092.0
2021-12-01,53176.105,79991.775,43809.555,18434.0,2873.0,15292.0,368112.0,434521.0
2022-01-01,57603.311,89105.041,46288.895,18459.0,2914.0,15159.0,371578.0,439160.0
2022-02-01,58719.947,91421.96,48224.334,18311.0,2917.0,15099.0,314132.0,396618.0
2022-06-01,65291.368,103633.284,42790.176,15278.0,2566.0,12745.0,273226.0,341320.0
2022-07-01,65690.881,105027.006,43516.316,15312.0,2574.0,12917.0,282731.0,334606.0
2022-08-01,66332.651,106664.137,44762.381,15581.0,2594.0,12966.0,292735.0,342305.0
2022-09-01,66764.089,107912.774,44467.648,15403.0,2545.0,12983.0,298956.0,348814.0
2022-10-01,67060.222,108779.635,45185.474,15420.0,2543.0,12935.0,305227.0,355314.0
2022-11-01,66669.736,108728.004,45397.689,15542.0,2567.0,12939.0,310067.0,360426.0
2022-12-01,67129.328,109622.858,45335.152,15549.0,2574.0,12719.0,314139.0,365837.0
