date_period,region,cards_total,cards_active,atm_total,atm_units,atm_deposit,ptks,terminals_total
2020-02-01,Avtonomna Respublika Krym,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,Cherkas'ka oblast',1604725.0,916142.0,1117.0,614.0,42.0,503.0,9309.0
2020-02-01,Chernihivs'ka oblast',1322340.0,752667.0,808.0,423.0,30.0,385.0,7102.0
2020-02-01,Chernivets'ka oblast',950984.0,487228.0,702.0,364.0,26.0,338.0,4843.0
2020-02-01,Dnipropetrovs'ka oblast',8852114.0,4132512.0,3481.0,1876.0,156.0,1605.0,34261.0
2020-02-01,Donets'ka oblast',3284733.0,1730883.0,1496.0,865.0,35.0,631.0,14065.0
2020-02-01,Ivano-Frankivs'ka oblast',1457046.0,802604.0,905.0,460.0,37.0,445.0,8667.0
2020-02-01,Kharkivs'ka oblast',4347649.0,2534992.0,2460.0,1416.0,178.0,1044.0,24150.0
2020-02-01,Khersons'ka oblast',1304599.0,682817.0,969.0,479.0,38.0,490.0,8423.0
2020-02-01,Khmel'nyts'ka oblast',1589310.0,886972.0,1019.0,574.0,39.0,445.0,8213.0
2020-02-01,Kirovohrads'ka oblast',1183696.0,662176.0,760.0,433.0,28.0,327.0,6873.0
2020-02-01,Kyiv City,13617789.0,6982854.0,5844.0,3043.0,451.0,2801.0,60146.0
2020-02-01,Kyivs'ka oblast',3341449.0,1868285.0,868.0,530.0,54.0,338.0,20878.0
2020-02-01,L'vivs'ka oblast',4070295.0,2214280.0,1990.0,1154.0,110.0,836.0,19885.0
2020-02-01,Luhans'ka oblast',1126908.0,593430.0,526.0,267.0,7.0,259.0,4490.0
2020-02-01,Mykolaivs'ka oblast',1572412.0,889670.0,1113.0,566.0,46.0,547.0,8740.0
2020-02-01,Odes'ka oblast',3997552.0,2107083.0,2294.0,1219.0,149.0,1075.0,21526.0
2020-02-01,Poltavs'ka oblast',2186041.0,1243877.0,1411.0,839.0,67.0,572.0,12120.0
2020-02-01,Rivnens'ka oblast',1308958.0,722310.0,849.0,410.0,20.0,439.0,6668.0
2020-02-01,Sums'ka oblast',1638184.0,894659.0,1007.0,532.0,25.0,475.0,8274.0
2020-02-01,Ternopil's'ka oblast',1052523.0,567754.0,725.0,365.0,29.0,360.0,5157.0
2020-02-01,Vinnyts'ka oblast',1882396.0,1030990.0,1241.0,621.0,45.0,620.0,9140.0
2020-02-01,Volyns'ka oblast',1241650.0,706420.0,781.0,419.0,24.0,362.0,6751.0
2020-02-01,Zakarpats'ka oblast',1110290.0,581550.0,797.0,447.0,37.0,350.0,5669.0
2020-02-01,Zaporiz'ka oblast',2694216.0,1504533.0,1564.0,928.0,71.0,636.0,14843.0
2020-02-01,Zhytomyrs'ka oblast',1558406.0,848661.0,1050.0,531.0,34.0,519.0,9073.0
2020-03-01,Avtonomna Respublika Krym,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,Cherkas'ka oblast',1623491.0,914663.0,1109.0,608.0,41.0,501.0,9420.0
2020-03-01,Chernihivs'ka oblast',1339205.0,753606.0,803.0,419.0,25.0,384.0,7197.0
2020-03-01,Chernivets'ka oblast',955894.0,488477.0,699.0,360.0,26.0,339.0,4903.0
2020-03-01,Dnipropetrovs'ka oblast',8976642.0,4110498.0,3452.0,1859.0,155.0,1593.0,34479.0
2020-03-01,Donets'ka oblast',3316393.0,1719499.0,1501.0,866.0,35.0,635.0,14303.0
2020-03-01,Ivano-Frankivs'ka oblast',1473548.0,806678.0,904.0,460.0,37.0,444.0,8815.0
2020-03-01,Kharkivs'ka oblast',4364322.0,2537300.0,2459.0,1410.0,177.0,1049.0,24442.0
2020-03-01,Khersons'ka oblast',1313945.0,679825.0,965.0,473.0,38.0,492.0,8564.0
2020-03-01,Khmel'nyts'ka oblast',1602690.0,886070.0,1021.0,575.0,39.0,446.0,8335.0
2020-03-01,Kirovohrads'ka oblast',1191503.0,660592.0,762.0,433.0,28.0,329.0,6962.0
2020-03-01,Kyiv City,13794207.0,7164232.0,5840.0,3031.0,437.0,2809.0,61407.0
